Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
54211,11.6,1012.9,245,15.5,Dublin,2015 Rugby World Cup warm-up tests,Ireland,Dublin,0,17.4,1,7,False,Ireland,,0,0,L,Summer,false,,Aviva Stadium,03969,28,22,Scotland,,50,0-20,moins de 30,0,False
54225,14.2,1015.4,218,16.8,Dublin,2015 Rugby World Cup warm-up tests,Ireland,Dublin,0,19,0,11,False,Ireland,,3,3.4,W,Summer,false,,Aviva Stadium,03969,10,16,Wales,,26,0-20,moins de 30,1,False
54211,11.6,1012.9,245,15.5,Dublin,2015 Rugby World Cup warm-up tests,Ireland,Dublin,0,17.4,0,7,False,Scotland,,3,0,W,Summer,false,,Aviva Stadium,03969,22,28,Ireland,,50,0-20,moins de 30,1,False
54225,14.2,1015.4,218,16.8,Dublin,2015 Rugby World Cup warm-up tests,Ireland,Dublin,0,19,1,11,False,Wales,,0,3.4,L,Summer,false,,Aviva Stadium,03969,16,10,Ireland,,26,0-20,moins de 30,0,False
54044,3.5,,241,32.5,Dublin,2015 Six Nations Championship,Ireland,Dublin,0,5.8,1,3.3,False,England,,0,8.2,L,Spring,true,10,Aviva Stadium,03969,9,19,Ireland,,28,0-20,30-60,0,False
54029,6.1,1005.5,,14.3,Dublin,2015 Six Nations Championship,Ireland,Dublin,0,10.1,0,3.5,False,France,,3,0,W,Winter,false,,Aviva Stadium,03969,11,18,Ireland,,29,0-20,moins de 30,1,False
54029,6.1,1005.5,,14.3,Dublin,2015 Six Nations Championship,Ireland,Dublin,0,10.1,1,3.5,False,Ireland,,0,0,L,Winter,false,,Aviva Stadium,03969,18,11,France,,29,0-20,moins de 30,0,False
54044,3.5,,241,32.5,Dublin,2015 Six Nations Championship,Ireland,Dublin,0,5.8,0,3.3,False,Ireland,,3,8.2,W,Spring,true,10,Aviva Stadium,03969,19,9,England,,28,0-20,30-60,1,False
54680,5.2,1023.9,355,9.9,Dublin,2016 Autumn International,Ireland,Dublin,0,8.9,0,3.5,False,Australia,,3,0,W,Autumn,false,,Lansdowne Road,03969,24,27,Ireland,,51,0-20,moins de 30,1,False
54673,1.4,997.1,266,18,Dublin,2016 Autumn International,Ireland,Dublin,0,5.4,1,0.9,False,Ireland,,0,0,L,Autumn,false,,Aviva Stadium,03969,9,21,New Zealand,,30,0-20,moins de 30,0,False
